Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
14,0,1101.517384757252,2013-01-09,102.2798,0.0,2013-03-08,58,102.7141,0.0,478.3890002000844,0.0,Long,Closed,14
15,0,1100.5552008211253,2013-03-13,102.8039,0.0,2013-04-10,28,103.1149,0.0,342.27266745537054,0.0,Long,Closed,15
16,0,1100.2788370572098,2013-04-11,103.1408,0.0,2013-05-21,40,103.8209,0.0,748.2996370826004,0.01,Long,Closed,16
17,0,1101.0636377012988,2013-05-22,103.7469,0.0,2013-07-18,57,103.715,0.0,-35.12393004266778,-0.0,Long,Closed,17
18,0,1101.252639263068,2013-07-23,103.6972,0.0,2013-09-18,57,104.0978,0.0,441.1618072887941,0.0,Long,Closed,18
19,0,1101.5701013327755,2013-09-19,104.0678,0.0,2013-10-18,29,104.4593,0.0,431.2646946717723,0.0,Long,Closed,19
20,0,1102.3520737245394,2013-10-30,104.3852,0.0,2013-12-26,57,105.0718,0.0,756.8749338192574,0.01,Long,Closed,20
21,0,1103.1951788475262,2013-12-30,104.9915,0.0,2014-06-23,175,106.1394,0.0,1266.3577457990614,0.01,Long,Closed,21
22,0,1103.6516569106996,2014-06-24,106.0955,0.0,2014-07-14,20,106.1197,0.0,26.708370097228908,0.0,Long,Closed,22
23,0,1105.2848000183683,2014-07-17,105.9629,0.0,2014-09-03,48,106.2212,0.0,285.4950638447335,0.0,Long,Closed,23
24,0,1106.518186133741,2014-09-09,106.1028,0.0,2014-11-26,78,106.5697,0.0,516.633341105844,0.0,Long,Closed,24
25,0,1107.744743774096,2014-12-01,106.4517,0.0,2015-02-25,86,106.6706,0.0,242.4853244121332,0.0,Long,Closed,25
26,0,1108.4919090498202,2015-03-09,106.5987,0.0,2015-04-07,29,106.826,0.0,251.96021092701994,0.0,Long,Closed,26
27,0,1109.3860559749078,2015-04-13,106.7399,0.0,2015-05-01,18,106.7281,0.0,-13.090755460507353,-0.0,Long,Closed,27
28,0,1109.888338004904,2015-05-05,106.6798,0.0,2015-06-02,28,106.7304,0.0,56.160349903060705,0.0,Long,Closed,28
29,0,1112.1255014105773,2015-06-08,106.5157,0.0,2015-06-26,18,106.5943,0.0,87.4130644108809,0.0,Long,Closed,29
30,0,1114.4465178905552,2015-06-29,106.3723,0.0,2015-07-17,18,106.7365,0.0,405.8814218157495,0.0,Long,Closed,30
31,0,1118.3158037141643,2015-07-27,106.3672,0.0,2016-03-15,232,106.2761,0.0,-101.878569718363,-0.0,Long,Closed,31
32,0,1119.0423445052816,2016-03-23,106.2071,0.0,2016-04-21,29,106.657,0.0,503.45715079293586,0.0,Long,Closed,32
33,0,1120.7246345940569,2016-04-29,106.4969,0.0,2016-10-20,174,107.3216,0.0,924.2616061497247,0.01,Long,Closed,33
34,0,1121.0400921606908,2016-10-25,107.2914,0.0,2018-01-03,435,109.9155,0.0,2941.7213058388734,0.02,Long,Closed,34
35,0,1120.993178225715,2018-01-10,109.9201,0.0,2018-01-30,20,109.9142,0.0,-6.613859751538257,-0.0,Long,Closed,35
36,0,1121.1839282785636,2018-02-01,109.8955,0.0,2018-02-21,20,109.5266,0.0,-413.60475114196015,-0.0,Long,Closed,36
37,0,1121.2607083056282,2018-02-28,109.5191,0.0,2018-09-28,212,110.2902,0.0,864.6041321744851,0.01,Long,Closed,37
